message,intention,equipe
How do I locate my card?,card_arrival,carte
I am still waiting for my card after 1 week.  Is this ok?,card_arrival,carte
What is the tracking number for my card that was mailed?,card_arrival,carte
My card hasn't arrived yet.,card_arrival,carte
How do I know when my card will arrive?,card_arrival,carte
How do I link a card that I already have?,card_linking,carte
"I received my new card, but I don't see it in the app anywhere.  What do I do?",card_linking,carte
Can I put my old card back into the system? I just found it/,card_linking,carte
Can I link an existing card?,card_linking,carte
How do I link one your card if I have one already?,card_linking,carte
Can you tell me how to link one of your cards that I already have?,card_linking,carte
How do I link this new card?,card_linking,carte
how do I link a card I already have?,card_linking,carte
Where do I go if I want to link my new card?,card_linking,carte
How do I link my card,card_linking,carte
I need to know your exchange rates.,exchange_rate,paiement
How are exchange rates calculated?,exchange_rate,paiement
Is it a good time to exchange?,exchange_rate,paiement
The exchange rates are?,exchange_rate,paiement
How do your exchange rates work?,exchange_rate,paiement
I purchased something in a foreign currency but the rate applied is wrong,card_payment_wrong_exchange_rate,paiement
The exchange rate on my purchase is wrong.,card_payment_wrong_exchange_rate,paiement
I bought an item and noticed the exchange rate was not correct.,card_payment_wrong_exchange_rate,paiement
I purchased an item and the exchange rate I was given was incorrect.,card_payment_wrong_exchange_rate,paiement
"When I made a purchase last Saturday, I was charged extra. Did I receive the right exchange rate?",card_payment_wrong_exchange_rate,paiement
"Hi, I have been overcharged for my payment last Saturday. I guess exchange rate was wrong.",card_payment_wrong_exchange_rate,paiement
I wasn't applied the correct exchange rate for an item I bought,card_payment_wrong_exchange_rate,paiement
I paid for something in foreign currency but noticed the exchange rate is incorrect.,card_payment_wrong_exchange_rate,paiement
I'm not okay with this fee on my statement.,extra_charge_on_statement,frais
I can see an extra 1£ charge on my app. Why did you charge me extra?,extra_charge_on_statement,frais
Where did this fee come from?,extra_charge_on_statement,frais
"I noticed an extra $1 charge on my statement, can you tell me why that is?",extra_charge_on_statement,frais
There is an extra $1 charge,extra_charge_on_statement,frais
I need information about an extra €1 fee in my statement.,extra_charge_on_statement,frais
Why is there an extra 1 pound charge on my card?,extra_charge_on_statement,frais
