message,intention,equipe
I am still waiting on my card?,card_arrival,carte
Can I track my card while it is in the process of delivery?,card_arrival,carte
Does the package with my card have tracking?,card_arrival,carte
Why has my new card still not come?,card_arrival,carte
Can you track my card for me?,card_arrival,carte
It's been a week since I ordered my card and it's not here. Please help?,card_arrival,carte
Will I be able to track the card that was sent to me?,card_arrival,carte
How do I know when my new card is going to arrive?,card_arrival,carte
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,card_arrival,carte
"On the card that is coming, what's the tracking info?",card_arrival,carte
My card isn't here yet.,card_arrival,carte
How do I track the card you sent me?,card_arrival,carte
When will I recieve my new card?,card_arrival,carte
When will I get my new card?,card_arrival,carte
What is the expected delivery date for my card?,card_arrival,carte
Is there a tracking number for the card you sent me?,card_arrival,carte
I would like to track the card you sent to me.,card_arrival,carte
My new card hasn't came in.,card_arrival,carte
Where is the card I ordered 2 weeks ago?,card_arrival,carte
Can I get an update on my replacement card?,card_arrival,carte
How long does it take for a new card to ship?,card_arrival,carte
What's the tracking on the card you sent?,card_arrival,carte
My card still hasn't been delivered,card_arrival,carte
Where is my credit card that was to be mailed?,card_arrival,carte
Can you tell me why I haven't received my new card?,card_arrival,carte
I'm still waiting for my new card.,card_arrival,carte
Is my card lost? I am still waiting for it to be delivered.,card_arrival,carte
Should I keep waiting for my card to be delivered?,card_arrival,carte
Can I track when my card will be delivered?,card_arrival,carte
"A card has been sent to me, how do I track it?",card_arrival,carte
Is there a way I can get my card expedited?,card_arrival,carte
How long does it take for me to get my new card?,card_arrival,carte
I don't have my card after 1 week. What are my next steps?,card_arrival,carte
I know I'm getting a new card but would like know when I can expect to receive it.,card_arrival,carte
I want to find out what happened to my new card?,card_arrival,carte
I am still waiting for my card.,card_arrival,carte
Can I track the card you sent to me?,card_arrival,carte
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,card_arrival,carte
Will I have to wait much longer for my new card to arrive?,card_arrival,carte
2 weeks ago I ordered my new card.  It isn't here.  What should I do?,card_arrival,carte
How can I check on the delivery status of my card?,card_arrival,carte
"My card has not been delivered yet and its been a week since I ordered it, please help",card_arrival,carte
"My card was supposed to arrive, but hasn't?",card_arrival,carte
How long will it take for me to get my card?,card_arrival,carte
My card hasn't shown up yet.,card_arrival,carte
maximum how many days get the courier?,card_arrival,carte
Is there a reason my new card hasn't arrived yet?,card_arrival,carte
"I've been waiting a while for my card, is there a way to know when it will arrive?",card_arrival,carte
"If I ordered my new card last week, how much longer should I wait to receive it?",card_arrival,carte
Where is my card?,card_arrival,carte
Can you tell me why I haven't received my new card yet?,card_arrival,carte
Is there a way to track the new card you sent me?,card_arrival,carte
I'm still waiting for my card.,card_arrival,carte
What do I need to do to get my new card which I have requested 2 weeks ago?,card_arrival,carte
WHAT IS THE SOLUTION OF THIS PROBLEM,card_arrival,carte
Can you help me track my card?,card_arrival,carte
Shouldn't my new card be here by now?,card_arrival,carte
Is there a tracking number for the card?,card_arrival,carte
can you share card tracking number?,card_arrival,carte
"I have not received my card and it's been a week, what do I do?",card_arrival,carte
Is there a way I can check on the card on route to me?,card_arrival,carte
When will my new card arrive?,card_arrival,carte
